Stand Composition,Productivity Class,BEC_ZONE_CODE,BEC_SUBZONE,BEC String,% of WMB Area,% AFLB in WMB Area,% AFLB in Study Area,% of Study Area
Coniferous,High,BWBS,mk,BWBSmk,1.8269556202523858,2.2248019771466523,1.8147728472311588,1.4280846732402581
Coniferous,High,BWBS,mw,BWBSmw,2.2482842303468744,2.4114819835821257,2.111160347781586,1.86014832417545
Coniferous,High,BWBS,wk,BWBSwk,0.5182619262015954,0.6378543087583799,0.5035994470877624,0.39320947185912475
Coniferous,High,ESSF,mv,ESSFmv,0.0007549862851556531,0.0010312806873848026,0.0021037957552369193,0.001603035103392489
Coniferous,High,SWB,mk,SWBmk,0.009240630931941425,0.012622327592874242,0.024346495446059564,0.019935777008970028
Coniferous,Low,BAFA,un,BAFAun,0.0,0.0,,0.01738386176281705
Coniferous,Low,BWBS,mk,BWBSmk,26.123615771727177,25.113797206219683,26.114306030401938,28.12774811391208
Coniferous,Low,BWBS,mw,BWBSmw,6.096634569218579,5.0403348527343095,5.365704167657156,7.12768011856576
Coniferous,Low,BWBS,wk,BWBSwk,2.3888795175115387,2.5888363914999744,2.9562975035576207,2.757118322445101
Coniferous,Low,ESSF,mv,ESSFmv,0.004455792326266543,0.0024525728118649226,0.43170301294795443,0.41824821942609264
Coniferous,Low,ESSF,mvp,ESSFmvp,0.0,0.0,0.013952339235482171,0.014071082167384738
Coniferous,Low,SWB,mk,SWBmk,0.4321481852454072,0.4547017512124198,1.5878364430408531,1.6434632644096698
Coniferous,Low,SWB,mks,SWBmks,0.027949721101130903,0.002586270848747625,0.05033651247788178,0.31013016999848475
Coniferous,Medium,BWBS,mk,BWBSmk,11.481225131131913,13.906450067804785,13.319546417083544,10.391782929514044
Coniferous,Medium,BWBS,mw,BWBSmw,6.7986737096201315,7.569578999792754,6.495526348833655,5.555074594942987
Coniferous,Medium,BWBS,wk,BWBSwk,2.4392001842351028,3.021543011917272,2.831503009873687,2.260098934319221
Coniferous,Medium,ESSF,mv,ESSFmv,0.018066174478363676,0.020899301232062975,0.20104622534244632,0.171701699887553
Coniferous,Medium,ESSF,mvp,ESSFmvp,0.0,0.0,0.0014658476611034963,0.0015486433761070053
Coniferous,Medium,SWB,mk,SWBmk,0.12733979924496333,0.1668533187067948,0.3528226432841974,0.2669649432413102
Coniferous,Medium,SWB,mks,SWBmks,0.0,0.0,0.0013345171827157968,0.0009352686610294185
Coniferous,,BAFA,un,BAFAun,0.0,0.0,,0.03586403869941289
Coniferous,,BWBS,mk,BWBSmk,0.030733227961927536,7.242511486675727e-05,4.5891156358266536e-05,0.026142500249358137
Coniferous,,BWBS,mw,BWBSmw,0.0017718668303962173,1.1138712041856532e-09,6.624536040571001e-10,0.0015048798579490657
